city_id,city_name,region_name,year,days_observed,mean_available_hours,median_available_hours,share_days_ge18,mean_exceedance_share
1,Дніпро,Дніпропетровська область,2019,308,23.91883116883117,24.0,0.9967532467532467,0.4312770562770563
1,Дніпро,Дніпропетровська область,2020,366,23.9672131147541,24.0,0.9972677595628415,0.27874477659916425
1,Дніпро,Дніпропетровська область,2021,365,23.953424657534246,24.0,0.9945205479452055,0.34364603750428646
1,Дніпро,Дніпропетровська область,2022,365,24.008219178082193,24.0,1.0,0.17772216368106777
1,Дніпро,Дніпропетровська область,2023,365,23.997260273972604,24.0,1.0,0.15128933167289332
1,Дніпро,Дніпропетровська область,2024,366,24.005464480874316,24.0,1.0,0.13294206249124282
1,Дніпро,Дніпропетровська область,2025,32,23.71875,24.0,0.96875,0.5292440878378378
2,Київ,Київ,2019,297,23.986531986531986,24.0,1.0,0.2747828526814034
2,Київ,Київ,2020,366,23.98633879781421,24.0,1.0,0.3841517635370094
2,Київ,Київ,2021,365,23.956164383561642,24.0,0.9972602739726028,0.469022018878481
2,Київ,Київ,2022,365,24.0,24.0,1.0,0.19166666666666665
2,Київ,Київ,2023,365,24.0,24.0,1.0,0.2195221361921779
2,Київ,Київ,2024,366,24.008196721311474,24.0,1.0,0.25539057026761947
2,Київ,Київ,2025,32,23.71875,24.0,0.96875,0.5425464527027027
3,Івано-Франківськ,Івано-Франківська область,2019,297,23.747474747474747,24.0,0.9831649831649831,0.39823478838341425
3,Івано-Франківськ,Івано-Франківська область,2020,366,23.887978142076502,24.0,0.9890710382513661,0.36193627170001325
3,Івано-Франківськ,Івано-Франківська область,2021,363,23.231404958677686,24.0,0.9504132231404959,0.3432869023506257
3,Івано-Франківськ,Івано-Франківська область,2022,279,22.469534050179213,24.0,0.9175627240143369,0.2835281359360093
3,Івано-Франківськ,Івано-Франківська область,2023,358,23.575418994413408,24.0,0.9748603351955307,0.2549503995770984
3,Івано-Франківськ,Івано-Франківська область,2024,361,23.775623268698062,24.0,0.9861495844875346,0.26227705110337896
3,Івано-Франківськ,Івано-Франківська область,2025,32,22.9375,24.0,0.9375,0.4786337676962677
4,Тернопіль,Тернопільська область,2019,295,23.115254237288134,24.0,0.9525423728813559,0.2688600722459786
4,Тернопіль,Тернопільська область,2020,366,23.19672131147541,24.0,0.9480874316939891,0.23546507308462009
4,Тернопіль,Тернопільська область,2021,365,23.665753424657535,24.0,0.9808219178082191,0.23913374711346563
4,Тернопіль,Тернопільська область,2022,365,23.802739726027397,24.0,0.9917808219178083,0.18363117711418242
4,Тернопіль,Тернопільська область,2023,365,24.0,24.0,1.0,0.2622146118721461
4,Тернопіль,Тернопільська область,2024,366,24.005464480874316,24.0,1.0,0.16381791764899392
4,Тернопіль,Тернопільська область,2025,32,23.71875,24.0,0.96875,0.22251548423423423
6,Новоолександрівка,Дніпропетровська область,2019,279,23.810035842293907,24.0,0.989247311827957,0.3892936370103408
6,Новоолександрівка,Дніпропетровська область,2020,304,23.36842105263158,24.0,0.9671052631578947,0.20991875809919075
6,Новоолександрівка,Дніпропетровська область,2021,364,23.692307692307693,24.0,0.9835164835164835,0.33234198007026017
6,Новоолександрівка,Дніпропетровська область,2022,290,23.420689655172414,24.0,0.9586206896551724,0.19173033675469958
6,Новоолександрівка,Дніпропетровська область,2025,9,19.88888888888889,24.0,0.7777777777777778,0.32098765432098764
8,Рівне,Рівненська область,2019,259,22.06949806949807,24.0,0.8957528957528957,0.3493482921424098
8,Рівне,Рівненська область,2020,366,23.934426229508198,24.0,0.994535519125683,0.27588218248054314
8,Рівне,Рівненська область,2021,312,22.990384615384617,24.0,0.9455128205128205,0.26361624486624485
8,Рівне,Рівненська область,2022,216,23.65277777777778,24.0,0.9768518518518519,0.05570394112060779
8,Рівне,Рівненська область,2023,217,23.93548387096774,24.0,0.9953917050691244,0.1359447004608295
8,Рівне,Рівненська область,2024,362,23.870165745856355,24.0,0.994475138121547,0.22026861619191287
8,Рівне,Рівненська область,2025,32,23.71875,24.0,0.96875,0.36848958333333337
11,Кривий Ріг,Дніпропетровська область,2019,286,23.825174825174827,24.0,0.9895104895104895,0.39289258501709096
11,Кривий Ріг,Дніпропетровська область,2020,366,23.90983606557377,24.0,0.9918032786885246,0.4086372646425684
11,Кривий Ріг,Дніпропетровська область,2021,365,23.953424657534246,24.0,0.9945205479452055,0.5201338172390619
11,Кривий Ріг,Дніпропетровська область,2022,365,23.936986301369863,24.0,0.9972602739726028,0.3498108284409654
11,Кривий Ріг,Дніпропетровська область,2023,365,23.997260273972604,24.0,1.0,0.39982606890826067
11,Кривий Ріг,Дніпропетровська область,2024,366,23.939890710382514,24.0,0.994535519125683,0.3167777480347184
11,Кривий Ріг,Дніпропетровська область,2025,32,23.71875,24.0,0.96875,0.5268510698198198
14,Нікополь,Дніпропетровська область,2019,223,23.143497757847534,24.0,0.9506726457399103,0.08711321870778478
14,Нікополь,Дніпропетровська область,2020,220,22.736363636363638,24.0,0.9227272727272727,0.07537662337662338
14,Нікополь,Дніпропетровська область,2021,274,23.375912408759124,24.0,0.9635036496350365,0.1287305250301542
14,Нікополь,Дніпропетровська область,2022,127,23.409448818897637,24.0,0.968503937007874,0.08038057742782152
14,Нікополь,Дніпропетровська область,2023,178,23.0,24.0,0.9438202247191011,0.06403521572060898
14,Нікополь,Дніпропетровська область,2024,364,23.571428571428573,24.0,0.9725274725274725,0.07346174658674658
14,Нікополь,Дніпропетровська область,2025,32,23.34375,24.0,0.9375,0.18880208333333334
15,Павлоград,Дніпропетровська область,2019,215,23.07906976744186,24.0,0.958139534883721,0.1981473970184523
15,Павлоград,Дніпропетровська область,2020,182,22.873626373626372,24.0,0.9395604395604396,0.05684679355731987
15,Павлоград,Дніпропетровська область,2021,262,23.66030534351145,24.0,0.9770992366412213,0.11504827121688371
15,Павлоград,Дніпропетровська область,2022,364,22.782967032967033,24.0,0.9175824175824175,0.06678791025106474
15,Павлоград,Дніпропетровська область,2023,278,20.802158273381295,24.0,0.7805755395683454,0.08084348475087035
15,Павлоград,Дніпропетровська область,2024,218,21.61467889908257,24.0,0.8394495412844036,0.10425602268609341
15,Павлоград,Дніпропетровська область,2025,21,21.952380952380953,24.0,0.8571428571428571,0.08888888888888889
16,Покров,Дніпропетровська область,2019,242,23.578512396694215,24.0,0.9710743801652892,0.13248824029007283
16,Покров,Дніпропетровська область,2020,279,22.060931899641577,24.0,0.8387096774193549,0.11670140990033465
16,Покров,Дніпропетровська область,2021,193,22.041450777202073,24.0,0.8652849740932642,0.14993411938021253
16,Покров,Дніпропетровська область,2022,49,23.020408163265305,24.0,0.9387755102040817,0.025510204081632654
16,Покров,Дніпропетровська область,2024,242,23.00826446280992,24.0,0.9462809917355371,0.014091702404674018
16,Покров,Дніпропетровська область,2025,31,23.483870967741936,24.0,0.9354838709677419,0.0
18,Софіївська Борщагівка,Київська область,2019,278,22.92086330935252,24.0,0.9316546762589928,0.21163768342356215
18,Софіївська Борщагівка,Київська область,2020,364,23.51923076923077,24.0,0.967032967032967,0.21798797478299511
18,Софіївська Борщагівка,Київська область,2021,365,23.942465753424656,24.0,0.9945205479452055,0.423546717923728
18,Софіївська Борщагівка,Київська область,2022,365,23.515068493150686,24.0,0.9753424657534246,0.1919371285480867
18,Софіївська Борщагівка,Київська область,2023,245,22.15918367346939,24.0,0.8979591836734694,0.19225337717954352
18,Софіївська Борщагівка,Київська область,2024,82,19.890243902439025,24.0,0.7926829268292683,0.15507905832981178
20,Бориспіль,Київська область,2019,251,23.171314741035857,24.0,0.952191235059761,0.3242901032007763
20,Бориспіль,Київська область,2020,366,23.898907103825138,24.0,0.9918032786885246,0.44367554991349595
20,Бориспіль,Київська область,2021,365,23.838356164383562,24.0,0.989041095890411,0.5339215777274146
20,Бориспіль,Київська область,2022,364,22.895604395604394,24.0,0.9313186813186813,0.15162177363657234
20,Бориспіль,Київська область,2023,365,23.96986301369863,24.0,1.0,0.08662379431170378
20,Бориспіль,Київська область,2024,361,23.68421052631579,24.0,0.9861495844875346,0.08752090290361175
20,Бориспіль,Київська область,2025,32,22.9375,24.0,0.9375,0.05338541666666667
22,Вишгород,Київська область,2020,61,23.57377049180328,24.0,0.9836065573770492,0.916711021219218
22,Вишгород,Київська область,2021,363,23.87052341597796,24.0,0.9917355371900827,0.4544225624793263
22,Вишгород,Київська область,2022,329,22.620060790273556,24.0,0.9118541033434651,0.06753522535256282
22,Вишгород,Київська область,2023,149,20.778523489932887,24.0,0.7986577181208053,0.02788559315404953
23,Іванків,Київська область,2019,262,22.255725190839694,24.0,0.8854961832061069,0.18069886135249438
23,Іванків,Київська область,2020,291,21.83848797250859,24.0,0.8865979381443299,0.1702143525794015
23,Іванків,Київська область,2021,192,22.713541666666668,24.0,0.9166666666666666,0.158743131365414
23,Іванків,Київська область,2022,68,22.926470588235293,24.0,0.9411764705882353,0.18425601465882796
23,Іванків,Київська область,2023,261,23.42528735632184,24.0,0.9693486590038314,0.012254120148856991
24,Великая Димерка,Київська область,2019,269,21.130111524163567,22.0,0.8587360594795539,0.09020941984000325
24,Великая Димерка,Київська область,2020,279,21.369175627240143,24.0,0.8458781362007168,0.10516847489500432
24,Великая Димерка,Київська область,2021,132,22.734848484848484,24.0,0.9242424242424242,0.1297580625454957
24,Великая Димерка,Київська область,2022,91,22.285714285714285,24.0,0.9120879120879121,0.03515074668920823
24,Великая Димерка,Київська область,2023,261,23.42528735632184,24.0,0.9693486590038314,0.3880379416124701
25,Ірпінь,Київська область,2019,231,22.939393939393938,24.0,0.9437229437229437,0.3615126750037892
25,Ірпінь,Київська область,2020,366,23.94535519125683,24.0,0.9972677595628415,0.4526787745595657
25,Ірпінь,Київська область,2021,365,23.953424657534246,24.0,0.9945205479452055,0.5742533328237354
25,Ірпінь,Київська область,2022,299,22.906354515050168,24.0,0.939799331103679,0.12627763376738288
25,Ірпінь,Київська область,2023,365,24.0,24.0,1.0,0.02853543776057177
25,Ірпінь,Київська область,2024,366,23.939890710382514,24.0,1.0,0.07055174118375154
25,Ірпінь,Київська область,2025,32,23.71875,24.0,0.96875,0.11328125
26,Переяслав-Хмельницький,Київська область,2019,221,22.74660633484163,24.0,0.9366515837104072,0.09532656175878682
26,Переяслав-Хмельницький,Київська область,2020,288,22.552083333333332,24.0,0.9236111111111112,0.10165178898195203
26,Переяслав-Хмельницький,Київська область,2021,132,22.78030303030303,24.0,0.9318181818181818,0.015426824637350954
26,Переяслав-Хмельницький,Київська область,2022,175,23.44,24.0,0.9714285714285714,0.050930735930735924
26,Переяслав-Хмельницький,Київська область,2023,261,23.67816091954023,24.0,0.9885057471264368,0.0472055638847243
27,Кагарлик,Київська область,2019,269,23.148698884758364,24.0,0.9553903345724907,0.16545530016049698
27,Кагарлик,Київська область,2020,295,22.55593220338983,24.0,0.9220338983050848,0.1726330290446124
27,Кагарлик,Київська область,2021,154,22.74025974025974,24.0,0.922077922077922,0.39324224912525546
27,Кагарлик,Київська область,2022,137,23.21897810218978,24.0,0.9416058394160584,0.08842676728875322
27,Кагарлик,Київська область,2023,261,23.65134099616858,24.0,0.9885057471264368,0.08883572867327894
28,Боярка,Київська область,2019,224,20.379464285714285,24.0,0.8169642857142857,0.1617250873468183
